report_date,api_id,api_name,customer_id,customer_name,api_total_count,api_success_count,api_failure_count
2026-04-1,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,144,144,0
2026-04-1,OUT_API_004,CustomerMasterFetch,179858,Epsilon Carbon Pvt Ltd,1,1,0
2026-04-1,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,51,51,0
2026-04-1,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,11,9,2
2026-04-1,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,47,46,1
2026-04-1,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,9,7,2
2026-04-1,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,79,68,11
2026-04-1,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-1,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,144,144,0
2026-04-1,OUT_API_004,CustomerMasterFetch,179858,Epsilon Carbon Pvt Ltd,1,1,0
2026-04-1,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,144,144,0
2026-04-1,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,11,9,2
2026-04-1,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,47,46,1
2026-04-1,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,51,51,0
2026-04-1,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,79,68,11
2026-04-1,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,9,7,2
2026-04-1,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,144,144,0
2026-04-1,OUT_API_004,CustomerMasterFetch,179858,Epsilon Carbon Pvt Ltd,1,1,0
2026-04-1,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,144,144,0
2026-04-1,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,11,9,2
2026-04-1,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,47,46,1
2026-04-1,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,51,51,0
2026-04-1,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,79,68,11
2026-04-1,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,9,7,2
2026-04-1,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,144,144,0
2026-04-1,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
